sample_id,organism.x,total.x,duplicates,mapped,mean,max_ct,bc_amp_cycles,pooled,cap_lib_conc,amisuccessful,percent_bases_above_15,mapped_in_baited_region,frac_mapped
AN16-171-T_S45,anthrax,4668613,147680,182231,0.37,30,6,0,0.36,no,0.1,177677,0.03903322
AN16-174-T_S28,anthrax,7194857,583643,6068261,86.93,21,6,0,2.9,yes,99.9,6040865,0.843416485
AN16-175-T_S3,anthrax,539623,25083,323916,4.47,23,6,1,66,no,0.3,326220,0.600263517
AN16-90-S_S33,anthrax,6925325,1709826,2764264,15.93,31,6,0,0.77,no,55.3,2764785,0.399152964
AN17-01-B_S15,anthrax,6322348,227148,739542,7.94,19,5,0,1.27,no,8.5,737615,0.116972682
AN17-01-T_S5,anthrax,6805988,651573,5846933,83.14,24,5,0,2.28,yes,99.7,5852213,0.859086587
AN17-18-B_S13,anthrax,8369846,1615980,6604212,77.82,28,5,0,2.04,yes,99.8,6591069,0.789048209
AN17-183_S18,anthrax,7038015,1679780,3071634,20.57,25,6,0,0.45,no,60.3,3083732,0.436434705
AN17-186_S9,anthrax,6396386,1665448,5006260,52.26,25,6,0,0.57,yes,99.4,4986943,0.782670089
AN17-187_S19,anthrax,2150739,100011,1678733,23.58,24,6,0,0.91,yes,83.8,1683530,0.780537759
AN17-189_S20,anthrax,8033531,1317313,5144692,58.22,25,6,0,0.74,yes,99.7,5130948,0.640402334
AN17-190_S22,anthrax,8838502,655377,8083501,113.33,19,6,0,1.54,yes,100,8060825,0.914578172
AN17-191_S1,anthrax,7129812,1908307,3604015,25,25,6,0,0.48,yes,81.3,3708943,0.505485278
AN17-194_S1,anthrax,2130341,146738,1529162,21.79,24,6,0,0.58,no,58.1,1535424,0.717801516
AN17-196_S11,anthrax,7784683,1735010,4833135,41.9,27,6,0,0.53,yes,97.3,4894529,0.62085187
AN17-197_S30,anthrax,7327413,960156,6543886,82.26,23,6,0,0.89,yes,99.9,6622569,0.893069082
AN17-20-S_S41,anthrax,5712816,1549842,3442350,29.36,28,6,0,1.54,yes,92.8,3509798,0.60256623
AN17-200_S29,anthrax,4498484,181733,4241191,60.82,20,6,0,1.75,yes,99.7,4249186,0.942804509
AN17-212-S_S5,anthrax,8305101,932906,5772623,72.95,27,7,1,1.92,yes,99.3,5789652,0.695069572
AN17-219_S3,anthrax,8584109,1705926,6124650,64.12,25,6,0,0.63,yes,99.8,6186433,0.713486979
AN17-22-S_S42,anthrax,907623,7601,26313,0.17,36,6,0,2.7,no,0.2,29490,0.028991112
AN17-223_S10,anthrax,4204829,463614,3694576,47.09,22,6,0,0.75,yes,99.2,3729448,0.878650713
AN17-225_S21,anthrax,4504320,254328,4197129,59.94,24,6,0,1.34,yes,99.8,4187164,0.931800805
AN17-228-S_S4,anthrax,4563491,257698,1412671,16.2,28,7,1,1.88,no,49.1,1434693,0.309559283
AN17-26-B_S38,anthrax,6595015,932694,5030536,63.47,28,5,0,2.26,yes,99.6,5024419,0.762778553
AN17-26-S_S39,anthrax,6854948,103522,282188,2.21,30,5,0,1.14,no,0.4,277505,0.041165593
AN17-269-T_S39,anthrax,7851908,642079,3515199,45.45,23,7,1,1.88,yes,98.1,3502950,0.447687237
AN17-27-A-S_S6,anthrax,24878232,3363086,24530665,290.41,25,6,1,36,yes,100,24494916,0.986029272
AN17-27-A-T_S4,anthrax,8480655,1046964,8056152,110.62,20,6,1,36,yes,98.6,8034952,0.94994455
AN17-271-T_S37,anthrax,4348808,168826,2892553,43.39,25,7,1,1.51,yes,96.8,2882121,0.665136975
