sample_id,organism.x,total.x,duplicates,mapped,mean,max_ct,bc_amp_cycles,cap_lib_conc,amisuccessful,%_bases_above_15,frac_mapped
AN18-421-T_S7,anthrax,4290436,108779,1408460,18.14,23,7,3.24,yes,59,0.32827899075991346
AN18-423-T_S38,anthrax,4287752,132141,1426619,20.5,25,7,1.41,yes,68.5,0.33271956960197324
AN18-427-S_S36,anthrax,3788617,377844,1385902,14.77,28,7,1.41,yes,45.5,0.36580683663722147
AN18-428-T_S27,anthrax,7683731,445557,2091519,23.74,25,7,1.29,yes,78.8,0.27220096591096177
AN18-431-T_S13,anthrax,4011748,409942,3200812,43.04,24,7,2.97,yes,96.4,0.7978596861019187
AN18-432-T_S23,anthrax,6413796,561362,1585675,13,27,7,1.41,yes,16.9,0.24722878619775246
AN18-433-T_S25,anthrax,4616999,175806,4066886,56.88,23,7,2.97,yes,98.7,0.8808505265000057
AN18-434-T_S6,anthrax,4270431,142044,1265470,16.38,23,7,1.44,yes,51.3,0.29633308675400677
AN18-436-T_S12,anthrax,5793992,33794,175047,1.85,27,7,1.51,no,0.1,0.030211812511995183
AN18-437-S_S35,anthrax,4438962,92350,4188571,62.72,22,7,3.24,yes,99.7,0.9435924434586284
AN18-438-T_S42,anthrax,4291321,223210,3333694,49.54,24,7,1.88,yes,99.3,0.77684563797488
AN18-440-T_S8,anthrax,2208572,27762,316414,4.18,27,7,3.24,no,0.3,0.14326632774480524
AN18-447-S_S30,anthrax,14047951,1381539,13399928,191.82,24,6,4.2,yes,100,0.9538706392127934
AN18-447-B_S31,anthrax,19550082,1510846,18998952,280.28,24,6,8.3,yes,100,0.971809325403341
ANTH2-T_S43,anthrax,20795796,1943690,20544338,295.09,23,6,14.2,yes,100,0.9879082291440059
ANTH4-T_S44,anthrax,6596944,501666,5453425,78.11,25,6,2.3,yes,99.9,0.8266592834500338
LNA-1S-T_S2,anthrax,5830171,3755378,4810614,16.38,35,5,0.3,yes,47.5,0.8251239972206648
not-sequenced,anthrax,NA,NA,NA,NA,22,5,0.18,NA,NA,NA
anthrax-raw_S11,anthrax,20079678,891437,19798580,294.37,20,5,13.6,yes,100,0.9860008711295072
not-sequenced,anthrax,NA,NA,NA,NA,21,6,NA,NA,NA,NA
07B00774_S16,mycoplasma,3910213,10060,17532,0.11,36.72,NA,1.08,no,0,0.00448364321841291
08B00436_S7,mycoplasma,3778849,9585,14936,0.08,35.96,NA,0.734,no,0,0.003952526285120152
08B02193_S8,mycoplasma,3726766,11459,18773,0.08,38.16,NA,0.734,no,0,0.005037343369559559
08B03746_S9,mycoplasma,2649127,28226,35768,0.16,39.61,NA,0.734,no,0.1,0.013501806444160661
08B04270_S10,mycoplasma,2596843,27926,34722,0.22,35.96,NA,0.734,no,0,0.013370850682925383
08B05877_S72,mycoplasma,3348896,151810,908060,52.87,26.34,NA,1.52,yes,89.2,0.27115204533075976
08B06178_S73,mycoplasma,3986396,202922,1705857,108.76,25.52,NA,2.86,yes,92.9,0.4279196045751601
08B07005_S51,mycoplasma,3031199,38902,125099,5.71,30.92,NA,0.52,yes,1.7,0.04127046756085628
08B07142_S58,mycoplasma,3430025,282479,1097923,56.12,27.57,NA,1.19,yes,89.8,0.3200918360653348
08B07429_S46,mycoplasma,2934388,27790,125052,6.64,27.05,NA,0.995,yes,4.8,0.04261604123244779
08B07531_S87,mycoplasma,2930239,498944,1367701,60.96,28.78,NA,0.722,yes,90.7,0.4667540770565131
08B07900_S82,mycoplasma,3344045,320478,1501772,83.78,27.83,NA,1.37,yes,90.9,0.44908845425226035
08B08150_S17,mycoplasma,2628255,20969,30584,0.35,33.75,NA,1.08,no,0,0.011636618212464164
08B08223_S59,mycoplasma,2939050,53950,161068,7.25,31.26,NA,0.716,yes,5.9,0.05480274238274272
