organism.x,sample_id,cap_lib_conc,init_lib_conc,max_ct,bc_amp_cycles,total.x,secondary,supplementary,duplicates,mapped,paired,read1,read2,properly_paired,with_itself_and_mate_mapped,singletons,mate_on_diff_chr,mate_on_diff_chrover5,total.y,mean,granular_third_quartile,granular_median,granular_first_quartile,%_bases_above_15,filename,organism.y,amisuccessful,frac_mapped,frac_duplicates
mycoplasma,10B03149_S85,0.186,17.6,30.93,NA,3220469,0,12999,1342541,1871095,3207470,1603735,1603735,1778824,1852020,6076,0,0,37745713,37.65,51,40,28,87.2,10B03149_S85 ,mycoplasma,yes,0.5810007797000996,0.41687747964659805
mycoplasma,10B03341_S71,1.71,33.5,26.96,NA,3191491,0,7957,71793,403914,3183534,1591767,1591767,388184,393058,2899,0,0,23071100,23.02,32,25,16,76.4,10B03341_S71 ,mycoplasma,no,0.1265596550327104,0.022495128452500728
mycoplasma,10B03623_S86,1.01,33,28.13,NA,3060233,0,18899,596192,1953999,3041334,1520667,1520667,1799160,1927138,7962,0,0,98071643,97.83,129,104,74,93.5,10B03623_S86 ,mycoplasma,yes,0.6385131458944466,0.19481915265929098
mycoplasma,10B04567_S81,0.442,23.2,29.22,NA,2222703,0,2477,88201,253891,2220226,1110113,1110113,233732,244826,6588,0,0,11149411,11.12,16,12,7,29.0,10B04567_S81 ,mycoplasma,no,0.11422623715359181,0.03968186482854434
mycoplasma,10B04745_S88,1.14,22.2,22.05,NA,2205202,0,6670,259836,1802829,2198532,1099266,1099266,1736348,1772540,23619,0,0,111608001,111.34,153,115,71,92.2,10B04745_S88 ,mycoplasma,yes,0.8175346294806553,0.11782866150130464
mycoplasma,10B05371_S68,0.414,17.4,29.53,NA,3945770,0,14846,935244,1724087,3930924,1965462,1965462,1617616,1702316,6925,0,0,55910668,55.78,75,58,38,90.6,10B05371_S68 ,mycoplasma,yes,0.4369456405213685,0.23702445910430664
mycoplasma,10B05468_S69,1.43,21.7,26.12,NA,3692068,0,11480,524111,3053463,3680588,1840294,1840294,2966054,3030530,11453,0,0,183491969,183.05,245,192,126,95.8,10B05468_S69 ,mycoplasma,yes,0.8270332507418606,0.1419559444733954
mycoplasma,10B06036_S76,0.696,20,27.32,NA,3230388,0,9894,480402,1776104,3220494,1610247,1610247,1698492,1758260,7950,0,0,93235245,93.01,124,97,66,93.8,10B06036_S76 ,mycoplasma,yes,0.5498113539302399,0.14871340532468547
mycoplasma,10B06532_S77,0.97,17.1,27.01,NA,2488993,0,1949,135050,828513,2487044,1243522,1243522,808586,821344,5220,0,0,50152106,50.03,68,52,33,87.6,10B06532_S77 ,mycoplasma,yes,0.33287076339708466,0.054258891045495104
mycoplasma,10B06604_S78,0.484,20.5,32.92,NA,3677997,0,353,47485,107538,3677644,1838822,1838822,104508,106614,571,0,0,3681261,3.67,6,4,2,0.4,10B06604_S78 ,mycoplasma,no,0.029238196768512862,0.01291055974216401
mycoplasma,10B07249_S89,0.326,19,31.18,NA,1820258,0,34,8896,22250,1820224,910112,910112,21706,21870,346,0,0,648407,0.65,2,1,1,0.0,10B07249_S89 ,mycoplasma,no,0.012223541937461613,0.0048872192842992586
mycoplasma,16P00665_S90,0.406,23.4,33.83,NA,2818733,0,167,9018,18873,2818566,1409283,1409283,18614,18688,18,0,0,221599,0.22,1,1,1,0.0,16P00665_S90 ,mycoplasma,no,0.006695561445514705,0.003199309760803879
mycoplasma,16P00684_S91,0.244,18.1,32.55,NA,1863475,0,1081,16441,34346,1862394,931197,931197,32540,32902,363,0,0,809298,0.81,2,1,1,0.0,16P00684_S91 ,mycoplasma,no,0.018431156844068205,0.008822763922242047
mycoplasma,17P00199_S92,0.532,12.6,28.54,NA,1753354,0,17772,119101,408393,1735582,867791,867791,383724,389380,1241,0,0,19208614,19.16,27,20,12,66.2,17P00199_S92 ,mycoplasma,no,0.23292101880167954,0.06792752632953757
mycoplasma,17P00326_S93,0.152,2.58,31.59,NA,1082454,0,17658,282843,469131,1064796,532398,532398,446584,450676,797,0,0,12271687,12.24,18,13,8,36.1,17P00326_S93 ,mycoplasma,no,0.43339578402407863,0.2612979396815015
