sample_id,carcass_id,sequence_project_id,library_prep_batch,pool,date_collected,species,sample_type,max_ct,ct_1,ct_2,ct_3,sample_conc_ng_ul,neb_protocol,fragmentation_incubation,bc_amp_cycles,init_lib_conc,concentration_of_lib_performed,new_lib_conc_ng_ul,amplification_cycles_bait_capture,cap_lib_conc,cap_lib_reamp,polyomics,organism.x,total.x,duplicates,mapped,X,mean,granular_third_quartile,granular_median,granular_first_quartile,%_bases_above_15,filename,organism.y,amisuccessful,frac_mapped,frac_duplicates,total.y
AN16-150-T,AN16-150,1447,1,NA,21/10/2016,cow,tissue,35,35,34,35,1.51,Chapter 1,8 min,5,7.84,yes,17.5,12,0.68,yes,,anthrax,8871934,174070,286033,NA,1.25,3,2,1,0.2,AN16-150-T_S24 ,anthrax,no,0.0322402082792771,0.01962029924929559,5782153
AN16-130-T,AN16-130,1447,1,NA,17/10/2016,sheep,tissue,24,22.5,23,24,2.62,Chapter 1,8 min,5,8.98,yes,20.2,12,2.7,,,anthrax,7061343,423553,6676126,NA,94.01,121,88,62,99.6,AN16-130-T_S25 ,anthrax,yes,0.9454470629737147,0.059981932615367925,436005000
AN16-149-1-T,AN16-149-1,1447,1,NA,21/10/2016,cow,tissue,37,undetectable,37,undetectable,0.46,Chapter 1,8 min,5,3.81,yes,11.9,12,9.8,,no reads,anthrax,63955,154,1273,NA,0.02,1,1,1,0.0,AN16-149-1-T_S26 ,anthrax,no,0.019904620436244233,0.0024079430849816277,71677
AN17-01-B,AN17-01-A,1447,1,NA,30/04/2017,goat,blood,19,18,18,19,1.4,Chapter 1,8 min,5,5.6,yes,15.1,12,1.27,yes,,anthrax,6322348,227148,739542,NA,7.94,11,8,6,8.5,AN17-01-B_S15 ,anthrax,no,0.11697268166826628,0.03592779138383398,36841819
AN16-152R-T,AN16-152R,1447,1,NA,25/11/2016,sheep,tissue,26,23,26,26,11.8,Chapter 1,8 min,5,14.1,,,12,0.68,yes,,anthrax,8479266,2498929,5641992,NA,47.44,60,46,34,98.1,AN16-152R-T_S34 ,anthrax,yes,0.6653868389079903,0.29471053272771486,219996766
AN16-150-B,AN16-150,1447,1,NA,21/10/2016,cow,blood,31,31,29,30,1.51,Chapter 1,8 min,5,6.12,yes,13.9,12,0.78,yes,,anthrax,9215161,2519344,5272043,NA,43.19,54,43,34,98.8,AN16-150-B_S35 ,anthrax,yes,0.5721053598520959,0.2733912082491017,200320262
AN16-130-S,AN16-130,1447,1,NA,17/10/2016,sheep,swab,35,35,35,35,2.5,Chapter 1,8 min,5,14.6,,,12,0.28,yes,,anthrax,5864007,521678,681103,NA,1.79,3,2,1,0.8,AN16-130-S_S36 ,anthrax,no,0.11614975902996023,0.08896271781394531,8299541
AN16-152R-S,AN16-152R,1447,1,NA,25/11/2016,sheep,swab,30,27,26,30,3.03,Chapter 1,8 min,5,8.04,yes,19.4,12,1.76,yes,,anthrax,6051634,872726,4089963,NA,48.19,59,47,37,99.3,AN16-152R-S_S37 ,anthrax,yes,0.6758444083036086,0.1442132819003925,223486123
AN17-26-B,AN17-26,1447,1,NA,27/04/2017,sheep,blood,28,28,27,28,1.43,Chapter 1,8 min,5,11.8,yes,21.8,12,2.26,yes,,anthrax,6595015,932694,5030536,NA,63.47,79,62,48,99.6,AN17-26-B_S38 ,anthrax,yes,0.7627785531951027,0.14142409077159035,294365591
AN17-26-S,AN17-26,1447,1,NA,27/04/2017,sheep,swab,30,30,30,30,10.6,Chapter 1,8 min,5,13.2,yes,25.8,12,1.14,yes,,anthrax,6854948,103522,282188,NA,2.21,4,3,2,0.4,AN17-26-S_S39 ,anthrax,no,0.041165593086920575,0.015101792165308913,10268636
AN17-338-S,AN17-338,1447,2,NA,18/12/2017,wildebeest,swab,26,25,24,26,0.71,Chapter 1,8 min,6,10.5,yes,6.46,12,3.02,yes,,anthrax,7389871,1186596,6594645,NA,85.71,104,84,67,99.9,AN17-338-S_S6 ,anthrax,yes,0.8923897318369969,0.16057059724046605,397533783
AN17-330-S,AN17-330,1447,2,NA,04/12/2017,wildebeest,swab,34,34,34,34,5.3,Chapter 1,8 min,6,48.4,,,12,0.39,yes,,anthrax,6004188,85220,121321,NA,0.34,1,1,1,0.3,AN17-330-S_S7 ,anthrax,no,0.02020606283480797,0.014193426321760745,1574204
AN18-410-T,AN18-410,1447,2,NA,22/01/2018,wildebeest,tissue,28,28,27,28,1.4,Chapter 1,8 min,6,26.2,,,12,0.89,yes,,anthrax,10579050,2916675,6611692,NA,57.57,71,56,43,99.5,AN18-410-T_S8 ,anthrax,yes,0.6249797477089153,0.2757029222850823,267000710
AN18-410-S,AN18-410,1447,2,NA,22/01/2018,wildebeest,swab,24,23,24,24,17.5,Chapter 1,8 min,6,56.8,,,12,2.12,yes,,anthrax,6911668,1011817,4997098,NA,62.84,78,60,46,99.7,AN18-410-S_S9 ,anthrax,yes,0.7229945072593186,0.1463925929312577,291435600
AN18-418-T,AN18-418,1447,2,NA,24/01/2018,wildebeest,tissue,22,21,22,21,36.7,Chapter 1,8 min,6,93.2,,,12,3.28,yes,,anthrax,5395161,465574,3057055,NA,41.26,52,40,31,98.6,AN18-418-T_S10 ,anthrax,yes,0.5666290588918477,0.08629473708013533,191358398
